"make_id","name"
"6465","Full Tilt"
"5851","Fun-Yak"
"131","Furukawa"
"5248","Futaba"
"5304","Futura"
"5409","Fuxin"
"5218","Fym"
"1805","G."
"6390","Gaastra"
"6284","GAC Gonow"
"5162","Gaia"
"6096","Galasport"
"1811","Galaxy"
"6031","Galeon"
"5482","Galfre"
"324","Gallignani"
"5198","Gamax"
"6445","Gardena"
"5190","Garelli"
"1818","Garin"
"301","Gas-Gas"
"132","Gaspardo"
"5630","Gator"
"5743","Gazelle"
"5805","Geely"
"357","Gehl"
"358","Gehlmax"
"6282","Gemballa"
"1826","Gemini"
"6444","Gemka"
"5341","Genata"
"6032","Gene"
"619","General Motors"
"133","General Trailer"
"4000","Generic"
"5707","Genesis"
"6327","Geniuss"
"6250","Geotrack"
"5933","Gepida"
"5572","Geringhoff"
"6269","Germatec"
"6453","G-force"
"6299","GG Motorradtechnik"
"5351","Ghost"
"6071","Giaccagliag"
"1837","Giant"
"6519","Giemme"
"12","Gilera"
"5257","Gillard"
"134","Ginaf"
"5744","Gios"
"6482","GiottiLine"
"5423","Gitane"
"6526","Gkaras"
"1866","Glastron"
"6237","Globber"
"620","GlobeCar"
"6467","Glücksmobil"
"21","Gmc"
"1873","Gobbi"
"5745","Goericke"
"6300","Goes"
"135","Goldhofer"
"5570","Goldoni"
"5832","Gomier"
"1879","Gommo"
"5991","Goricke"
"6321","Goupil"
"6325","GoXtreme"
"6374","Goya"
"297","Grader"
"5200","Grady White"
"5414","Grand"
"394","Granduca"
"6039","Gratia"
"5236","Graupner"
"1894","Great"
"6281","Grecav"
"3899","Greco Marine"
"1896","Greek"
"6041","Gregoire-Besson"
"5801","Greit"
"6515","Grillo"
"136","Grimme"
"662","Groenewegen"
"6500","Grouser"
"137","Grove"
"6258","Gruppo Mare"
"5287","GT"
"5746","Gudereit"
"681","Güldner"
"6268","Güleryüz"
"436","Gunite"
"342","Gutbrod"
"1915","Guy"
"5175","GV Models"
"5465","Gyro"
"6224","Haase"
"5945","Haibike"
"5019","Hako"
"5020","Halla"
"6280","Hamann"
"5300","Hamilton"
"138","Hamm"
"6206","Hammer"
"6014","Hangcha"
"3822","Hangler"
"139","Hanix"
"5326","Hannibal"
"140","Hanomag"
"5106","Haojin"
"655","Hapert"
"299","Harley Davidson"
"5215","Harlow"
"5286","Haro"
"3895","Hartford"
"5747","Hase"
"141","Hassia"
"6560","Haulotte"
